tile_id,x,y,true_pm,pred_pm,population,true_exposure,pred_exposure
0,34.82802218501835,5.468744733422111,128.89086778521894,126.62292357746252,354.33347548526547,45670.34914064847,44866.74058730746
1,19.749529788842356,31.96620354760738,153.2864714582998,173.26328597303933,730.7045990079657,112007.12966028292,126604.2798997322
2,38.63690639601221,39.52743699409332,80.76681077660044,96.21818199103404,403.0970111431497,32556.86002361197,38785.26157821345
3,31.381561307671376,14.415581624728748,97.42029549304334,97.71438466828036,1051.3123621768036,102419.16097875361,102728.34056426267
4,4.237980654944229,34.61398456959721,65.51639176104271,49.11592519343199,605.4729063104168,39668.400130530375,29738.361972992287
5,43.90300582365402,30.501818830434495,60.06668741404377,63.93032024633812,862.0601660639659,51781.0985270629,55111.78248808076
6,34.251286589565886,36.46341179034992,107.39680394311625,101.04903055486453,757.0906362792617,81309.114631653,76503.27483818495
7,35.372893737462924,16.974899063237174,82.97245785508055,71.39136106570315,883.3064209090714,73290.10478199997,63060.447626773486
8,5.765113470399564,4.052060192952971,85.00802053406676,92.67204455635186,213.6397356869613,18161.0910381698,19798.431104589312
9,20.26736720530052,4.734248254597149,79.49818654098704,64.12979010769723,490.9598700153771,39030.4193306212,31485.15341538845
10,16.685911090466156,30.527936818321685,143.2840626567133,144.5304551280378,1058.4170739407152,151654.2983394566,152973.5014119376
11,41.70442449818708,34.533273579934715,87.78343622086555,93.1419470885102,897.3942227136613,78776.3485145579,83585.04520953057
12,28.973930403629904,18.280669637482042,98.48369549235309,106.3909938622374,1654.5240740627921,162943.64509476747,176026.46060853853
13,37.02427259718735,2.382835569485837,93.08097079287164,77.68946530690485,403.4942223534172,37557.63392597088,31347.250389062356
14,19.9536389472299,2.6682416143915866,94.36144562126398,114.42424744337583,647.5414510262713,61102.94741852987,74094.4432220727
15,10.22574248031496,23.94401400249695,61.58236787413057,64.78211874768596,754.4895648474244,46463.25393962678,48877.43258383575
16,24.956315415712567,36.7449740085988,134.96783684042717,134.64527472377083,783.3225235751231,105723.34655531889,105470.67638408991
17,2.8717765246878897,15.98334054823666,43.66746294606709,27.432915881253834,296.8827195969477,12964.11515732734,8144.358673300935
18,37.243402739666195,26.024792607966234,101.14891931432935,90.93064274289716,937.7197690945179,94849.34126359294,85267.46131648563
19,28.424897960492917,21.68031075827086,114.82618709444144,110.19551529619784,1832.5127298414614,210420.44956972127,201934.68455172202
20,34.11394830384182,35.59031377808246,134.65530280840676,133.96620256975137,890.5849584963918,119921.987262944,119308.28495550124
21,15.953668565844076,33.29550446568941,136.8419868971907,140.61235115024814,870.4875795169098,119119.24995042023,122401.30520296127
22,43.68141109777065,7.973942406776149,74.60997686883505,70.01257935955638,173.11665777139132,12916.229831933539,12120.343740680697
23,40.1904504594989,27.10172394238874,89.42296267119042,106.43980237146826,1055.0001904185488,94341.24264589667,112294.01177001171
24,35.02725736831928,33.90012743238153,116.68551095237224,111.77978495064593,1338.746882703834,156212.36404419242,149644.83865198217
25,8.758741853338542,37.20997527250156,89.0092445952835,90.96984217329945,193.01337211521871,17179.974448763976,17558.395998657765
26,21.002445167716537,23.59708562100888,103.06056521285298,116.34203435807892,1643.5595753824664,169386.1787999136,191215.0645886965
27,1.971169460425295,7.036449406420666,52.671198151592364,45.71893368550123,570.535705772633,30050.799211308953,26084.28409742965
28,6.943027143039652,22.329283363377822,51.130834088931515,34.36527742267355,380.5505410204668,19457.866575370615,13077.724915516854
29,30.737202895910457,26.632760466334027,160.69804106823614,155.36130367356574,1438.7601617777586,231205.9395647043,223527.65440738294
